,P4,Cz,F8,T7
1067,2.1375782,2.5896313,-5.1779184,3.8908997
1068,3.5332682,2.7173378,-5.606554,2.0241373
1072,-0.02532386,-6.4041047,2.2098548,-8.503686
1073,-1.9429055,-8.334391,7.372491,-11.24816
1076,-6.4214096,-11.128806,12.385658,-13.988058
1080,-11.757165,-5.4258647,6.610021,-3.1349409
1093,2.2515438,-4.332715,-1.5321841,-4.957876
1102,-3.7156985,1.5709178,6.7145987,-3.1495621
1104,-7.65461,-3.3349879,2.7005334,1.0463513
1105,-6.8010592,-6.0396686,6.1258054,0.8476285
1107,-0.36677942,-2.5842757,4.6310687,0.028181352
1108,3.8883667,0.74955505,0.46566626,0.19210039
1110,8.051822,3.6178358,-2.78597,-0.9801265
1111,7.8868666,3.7465749,-1.3370436,-2.0131927
1112,9.080917,5.5774302,0.108706325,-3.205485
1114,10.146153,7.379536,-2.7520058,-6.0555124
1115,9.10487,8.149487,-3.0680473,-5.3207593
1122,-1.7378211,3.6454387,-4.9054923,1.5551519
1124,-4.63171,-0.927244,-2.5469487,-1.0777762
1127,-3.0399668,-4.471676,3.7554898,2.0479538
1129,-1.4630113,-3.825815,5.942661,1.9711283
1132,6.174361,-0.85304147,-0.5330648,0.45349225
1136,7.7185874,4.9082866,-4.3261805,0.18321629
1141,-3.9037867,-1.2023996,-2.2861607,-3.7270398
1142,-4.5277996,-1.2871484,-2.7215047,-2.7169151
1143,-5.149833,-1.1020324,-1.8268381,-3.1423142
1144,-5.348161,-0.77112705,2.1017234,-3.4914837
1150,-6.6065784,-10.526812,7.849124,6.888719
1152,-0.7525049,-6.4625025,5.341914,6.246031
1153,3.7535813,-4.1544304,2.269028,5.5712657
1155,5.7288065,-2.6156101,-3.7381198,1.7052346
1157,6.8049073,-0.057676416,-3.9905846,-2.2126162
1158,6.4417486,0.862531,-2.797734,-3.1724188
1160,4.218712,2.7896223,0.36095288,-7.7082396
1164,-0.4107326,5.3244996,2.7968688,-4.2197895
1170,-10.363861,-5.339992,-6.3195343,3.3555822
1171,-10.994102,-8.8156595,-3.4199274,4.9657593
1177,6.400979,-3.1571896,4.026096,-4.347449
1180,5.792879,-1.3726119,4.5436873,-10.582318
1181,6.5333886,-0.9051527,2.5379612,-9.40577
1182,7.2815986,0.6149497,3.9841983,-9.315541
1186,7.133907,6.2564273,-4.9041615,-5.202937
1189,-0.56851315,1.441422,-1.1626322,0.6574526
1190,-3.4798036,-0.7619857,-6.6153536,3.46201
1204,6.8724055,8.64943,-6.540192,-0.1871697
1209,-8.290385,-4.4678135,7.4144006,-5.806254
1211,-6.3983784,-0.7943109,8.101805,0.23224744
1212,-3.9946992,0.7690287,5.857577,-0.9261446
1214,-4.749878,-1.8462063,0.7902147,0.027926274
1219,4.510691,-1.4593251,3.277106,-0.45333827
1223,5.993063,0.7280254,0.8211752,-2.0885344
1224,5.4400697,-0.2767383,3.8151646,-3.198935
1231,-3.2178402,3.821377,-2.4623382,5.817183
1240,-1.279939,-2.6113462,1.5716695,0.8142166
1241,2.2264156,-1.6212463,1.2173258,0.5022298
1242,4.9305105,1.179587,-0.37713203,0.50506055
1244,8.231545,5.7961717,-6.3158097,2.671302
